datetime,temperature_2m,wind_speed_10m,wind_gusts_10m,precipitation,snowfall,visibility,cloud_cover
2019-01-01T00:00,2.9,0.8,2.9,0.0,0.0,,48
2019-01-01T01:00,1.6,3.7,6.8,0.0,0.0,,43
2019-01-01T02:00,2.0,3.3,5.0,0.0,0.0,,92
2019-01-01T03:00,1.5,3.6,6.1,0.0,0.0,,100
2019-01-01T04:00,1.1,3.0,4.7,0.0,0.0,,100
2019-01-01T05:00,1.3,4.8,8.3,0.0,0.0,,100
2019-01-01T06:00,1.1,3.4,6.1,0.0,0.0,,100
2019-01-01T07:00,0.5,3.9,6.5,0.0,0.0,,100
2019-01-01T08:00,0.7,3.3,5.4,0.0,0.0,,100
2019-01-01T09:00,1.1,4.6,10.8,0.0,0.0,,100
2019-01-01T10:00,1.6,5.4,14.4,0.0,0.0,,100
2019-01-01T11:00,2.2,7.8,19.1,0.0,0.0,,100
2019-01-01T12:00,3.4,9.7,23.0,0.0,0.0,,100
2019-01-01T13:00,4.3,10.3,25.9,0.0,0.0,,100
2019-01-01T14:00,4.9,12.0,25.2,0.0,0.0,,100
2019-01-01T15:00,5.2,11.4,25.6,0.0,0.0,,94
2019-01-01T16:00,4.8,12.8,25.9,0.0,0.0,,79
2019-01-01T17:00,4.2,14.1,28.1,0.0,0.0,,100
2019-01-01T18:00,3.5,15.8,32.4,0.0,0.0,,98
2019-01-01T19:00,3.3,15.2,32.8,0.0,0.0,,100
2019-01-01T20:00,3.3,14.1,30.6,0.0,0.0,,100
2019-01-01T21:00,3.1,13.5,28.8,0.0,0.0,,82
2019-01-01T22:00,3.0,12.9,27.4,0.0,0.0,,93
2019-01-01T23:00,3.1,14.6,28.8,0.1,0.0,,99
2019-01-02T00:00,3.0,16.3,32.4,0.1,0.0,,98
2019-01-02T01:00,2.9,17.2,32.8,0.2,0.0,,100
2019-01-02T02:00,3.0,17.6,35.3,0.1,0.0,,99
2019-01-02T03:00,3.0,18.4,37.1,0.1,0.0,,82
2019-01-02T04:00,2.6,13.6,36.7,0.1,0.0,,53
2019-01-02T05:00,1.9,7.6,27.0,0.1,0.0,,96
2019-01-02T06:00,1.6,8.0,25.2,0.3,0.14,,62
2019-01-02T07:00,0.4,6.2,22.0,0.6,0.42,,44
2019-01-02T08:00,-0.8,5.2,11.9,0.0,0.0,,9
2019-01-02T09:00,-0.6,8.8,15.5,0.0,0.0,,1
2019-01-02T10:00,0.7,9.8,19.8,0.0,0.0,,44
2019-01-02T11:00,1.1,14.5,43.6,0.0,0.0,,53
2019-01-02T12:00,1.9,13.4,43.6,0.1,0.07,,88
2019-01-02T13:00,1.4,14.5,37.8,0.1,0.07,,92
